459	626	450	451	452	453	454	455	456	457	498	499	494	496	497	490	491	492	493	438	484	874	875	465	1038	1039	509	1032	466	467	1034	1035	449	448	469	468	460	443	442	441	440	447	446	445	444	478	463	489	488	487	486	485	462	483	482	481	480	1025	1042	1040	1023	1029	479	472	473	470	471	476	477	474	475	437	434	435	464	439	458
458	44237	133598	111986	109708	110205	110973	104894	110756	110110	111476	110566	133120	110680	132536	107467	107895	115352	110734	112261	12769	110809	111389	112695	114559	110520	2652	110665	110708	112221	111470	110830	459	110805	110770	57333	112099	110173	110835	113213	110682	112659	109823	27011	110686	132661	110329	110715	12807	3422	102471	2028	110795	110663	110642	110572	110694	110617	2766	110678	110685	110748	44672	112291	110518	112890	110352	110893	110765	109758	110742	44415	12885	110736	2852	110475	110796	0
459	122512	101195	97904	99182	99075	93353	99688	98672	100141	99177	122650	99257	121870	97631	96380	104334	99693	100934	47341	98925	101076	101655	101962	99139	45794	99371	99493	101246	100049	99516	44014	100098	99379	51203	101223	98308	99413	102864	99298	101228	99038	45778	99433	122101	99558	99640	47308	42958	94592	44766	99585	99415	99221	99276	99279	99327	45963	99295	99296	99328	42827	101287	99104	101479	98479	100068	99344	98339	99327	206	47405	99349	45850	98997	100201	0	0
626	109989	110958	112337	113092	107552	112882	111640	113358	111889	22946	112041	20589	112437	109753	20093	112875	113746	130928	112899	114061	106174	115124	111813	134770	112711	112704	106600	112858	112852	133407	113560	112124	120868	110055	111960	112206	107808	112029	113997	113353	131605	112187	20034	113140	112853	130918	132054	114265	133849	112829	112225	111956	112587	112062	112752	134957	111999	112019	112069	116559	106666	112284	114359	112134	112020	112097	110920	112094	122808	131095	112082	134803	111646	112836	0	0	0
450	23417	26672	24308	24998	27051	23076	28091	23651	109466	23771	108715	31102	22176	86812	27066	25446	101591	24248	25551	35692	33706	23686	113320	27117	26715	34656	24611	27225	111801	27072	23829	98667	1779	23343	23867	33655	23738	25867	25232	112294	23937	108955	26760	27034	101503	108536	35471	112349	26811	23989	23720	27078	25617	27116	113412	23777	23699	23805	107577	34746	27183	26010	23381	27696	23825	24441	23792	101476	101716	23809	113422	23647	27335	0	0	0	0
451	21401	1220	18756	22573	22638	24811	23198	109254	23359	106913	28491	10577	38980	22602	25075	98192	1063	19657	33063	29693	23108	110997	23241	23214	32988	24187	23386	109069	22978	23508	96498	18156	162	23597	28886	23385	24840	21827	109495	23581	109308	22067	22533	97852	105439	31397	109928	23285	23299	23299	23144	2462	23474	111205	23359	23223	23461	66013	33007	23079	25732	250	24514	23509	1361	23525	98512	98315	23466	111087	22821	23350	0	0	0	0	0
452	23172	644	181	19629	10521	20065	111313	20107	110035	21326	17794	86594	180	21759	100321	22980	20568	32079	30389	20019	111517	5201	6726	32214	20959	5270	109796	4166	20198	98370	26585	22093	20257	29631	20135	21951	22524	110272	20311	110916	3983	179	100160	107355	23324	110388	6771	20370	20087	4557	23153	6035	111655	20135	20130	20169	104891	32297	7128	22384	22210	5572	20184	22001	20175	99606	100503	20156	111396	19933	9635	0	0	0	0	0	0
453	21342	23503	24157	25904	25123	110853	25262	110640	29536	21856	86344	23539	26712	99355	59	21201	33859	30489	25164	112027	24248	24224	33698	26635	24298	110767	23947	25331	98015	24663	1079	25376	30637	25226	26902	23651	111538	25401	111311	23586	23527	99165	107597	32540	111030	24229	25155	25185	24196	3247	24576	112120	25306	25165	25342	107349	33797	24868	26999	1074	25423	25311	2297	25278	99372	99503	25316	112138	25113	24270	0	0	0	0	0	0	0
454	596	18943	9966	19329	106515	19359	104968	20000	16365	78402	594	21030	95249	21238	19726	29795	28077	19269	106303	5267	6686	29871	20205	5350	104583	4391	19473	92810	24387	20328	19519	28284	19418	21443	21634	105500	19586	106083	4250	605	95041	101779	22317	105149	6714	19612	19341	4648	21950	6107	106443	19378	19362	19429	95752	30013	7181	21640	20378	5671	19443	20739	19444	93782	95383	19423	106162	19153	9534	0	0	0	0	0	0	0	0
455	20044	10545	20407	111931	20423	111121	21354	18914	88658	47	22069	100816	23447	20959	32465	30763	20372	112107	5111	6648	32621	21283	5144	110599	4054	20491	98950	27666	22511	20546	30093	20468	22634	23018	110816	20653	111404	4007	56	100747	108114	23620	111008	6688	20736	20384	4459	23545	6003	112162	20464	20445	20472	107288	32716	7090	22693	22538	5417	20480	22360	20477	99983	100996	20460	111939	20327	9573	0	0	0	0	0	0	0	0	0
456	24883	409	110194	444	109790	29912	1088	87074	20039	2313	101346	24026	20898	33032	30216	434	111240	21687	19650	33027	1279	21795	109821	18954	449	95305	23224	23152	475	31170	367	2645	21801	109887	67	110096	18624	20036	101204	107980	31802	110533	19720	285	420	21361	23798	19039	111367	429	570	428	105463	33126	19317	2651	23225	21326	433	22614	479	98975	101537	439	111338	408	22778	0	0	0	0	0	0	0	0	0	0
457	25636	112253	25650	111527	19967	23773	89287	10545	27265	101344	25817	25658	31382	31588	25593	112847	8310	9760	31543	26521	8349	111253	11537	25732	98742	28591	24973	25784	27669	25716	27683	24499	112059	25856	111866	11464	10551	101175	107896	27566	111760	9810	25932	25627	7720	27307	10664	112965	25699	25670	25708	108365	31611	10163	27938	25020	12828	25733	26196	25629	100444	101430	25706	112968	25554	10537	0	0	0	0	0	0	0	0	0	0	0
498	110419	209	110033	30630	1310	87294	20405	2072	102062	25040	21154	33461	30657	177	111783	22064	20042	33592	1029	22159	110273	19212	215	95754	24037	24080	238	31487	139	2464	21921	110093	405	110330	18920	20402	101975	108749	32217	110819	20101	652	184	21739	24164	19348	111906	178	349	170	105739	33697	19463	2422	24163	21691	194	22972	236	99472	102291	195	111622	178	23101	0	0	0	0	0	0	0	0	0	0	0	0
499	110540	21721	111389	107941	19903	111925	111162	130272	110679	112564	104901	112726	110326	133599	111922	111838	105109	110858	112074	132911	112549	110650	120586	108530	110338	110723	105815	110563	111019	112011	131521	110730	22053	112066	111897	130258	131667	113519	132623	111867	110738	110453	111820	110197	111478	133769	110524	110534	110598	116409	105115	111453	111351	110494	111085	110618	109407	110600	122945	130448	110605	133711	110152	111952	0	0	0	0	0	0	0	0	0	0	0	0	0
